지역,일자,지명,주소,좌표
수원,4/30,산촌식당,경기가평군가평읍달전리131-2,"37.804799003626705,127.52423053424098"
부산,5/8,부산의료원,부산연제구거제동1518,"35.18729655432529,129.05922489147238"
서울,4/30,탑플레이스종로본점,서울종로구돈의동41-1,"37.5723344034092,126.990092831598"
서울,4/30,홍롱롱,서울종로구익선동166-33,"37.5734282128146,126.99011079879101"
서울,5/3,홍롱롱,서울종로구익선동166-33,"37.5734282128146,126.99011079879101"
서울,5/4,홍롱롱,서울종로구익선동166-33,"37.5734282128146,126.99011079879101"
서울,5/5,홍롱롱,서울종로구익선동166-33,"37.5734282128146,126.99011079879101"
서울,5/6,홍롱롱,서울종로구익선동166-33,"37.5734282128146,126.99011079879101"
서울,5/7,코로나19종로구보건소선별진료소,서울종로구옥인동45-30,"37.581830891505994,126.96922410105599"
서울,5/8,서울특별시보라매병원,서울동작구신대방동425,"Seou,37.49379005514929"
서울,5/8,순천향대학교부속서울병원,서울용산구한남동657-58,"37.53378643738393,127.00442379819599"
서울,5/7,코로나19용산구보건소선별진료소,서울용산구이태원동34-87,"37.5325896182205,126.99061852981102"
서울,5/4,별밤포차남영점,서울용산구갈월동69-16,"37.544115805967,126.97172904851301"
서울,5/7,코로나19용산구보건소선별진료소,서울용산구이태원동34-87,"37.5325896182205,126.99061852981102"
서울,5/8,국군수도병원,경기성남시분당구율동산22,"37.39170679339027,127.15176219552485"
서울,5/8,중앙대학교병원,서울동작구흑석동224-1,"37.5070346335871,126.96077231617"
서울,5/8,고려대학교구로병원,서울구로구구로동80,"37.49225437002535,126.88473741237897"
서울,5/6,부평구청역7호선,인천부평구갈산동415,"37.50743350578311,126.72144197999002"
서울,5/6,신연수역인천1호선,인천연수구연수동637,"37.4181081550544,126.69401968196901"
서울,5/7,부평구청역7호선,인천부평구갈산동415,"37.50743350578311,126.72144197999002"
서울,5/7,신연수역인천1호선,인천연수구연수동637,"37.4181081550544,126.69401968196901"
경기,5/8,경기도의료원안성병원,경기안성시신소현동99,"37.01735255326614,127.26036636531445"
경기,5/7,코로나19수지구보건소선별진료소,경기용인시수지구풍덕천동720,"37.3221916779058,127.09683791577301"
경기,5/5,버거킹수지구청역점,경기용인시수지구풍덕천동714-5,"37.32427800833081,127.097400208449"
경기,5/5,동천집,경기용인시수지구풍덕천동685,"37.331026112716906,127.10030654285399"
